title,author,description,genres,pages,rating
القرآن الكريم,Anonymous,"The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن‎ al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kur'an, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله‎, Allah). The Quran is composed of verses (Ayat) that make up 114 chapters (suras) of unequal length which are classified either as Meccan (المكية) or Medinan (المدنية) depending upon the place and time of their claimed revelation. Muslims believe the Quran to be verbally revealed through the angel Jibrīl (Gabriel) from God to Muhammad gradually over a period of approximately 23 years beginning on 22 December 609 CE, when Muhammad was 40, and concluding in 632 CE, the year of his death.Muslims regard the Quran as the main miracle of Muhammad, the proof of his prophethood and the culmination of a series of divine messages that started with the messages revealed to Adam, regarded in Islam as the first prophet, and continued with Suhuf Ibrahim (Scrolls of Abraham), the Tawrat (Torah or Pentateuch) of Moses, the Zabur (Tehillim or Book of Psalms) of David, and the Injil (Gospel) of Jesus. The Quran assumes familiarity with major narratives recounted in Jewish and Christian scriptures, summarizing some, dwelling at length on others and in some cases presenting alternative accounts and interpretations of events. The Quran describes itself as a book of guidance, sometimes offering detailed accounts of specific historical events, and often emphasizing the moral significance of an event over its narrative sequence.","{'Religion', 'Reference', 'Spirituality', 'Islam', 'Philosophy', 'Nonfiction', 'Classics'}","604 pages, Hardcover",4.38
Muhammad: His Life Based on the Earliest Sources,Martin Lings,"Martin Lings’ biography of Muhammad is an internationally acclaimed, comprehensive, and authoritative account of the life of the prophet. Based on the sira, the eighth- and ninth-century Arabic biographies that recount numerous events in the prophet’s life, it contains original English translations of many important passages that reveal the words of men and women who heard Muhammad speak and witnessed the events of his life.Scrupulous and exhaustive in its fidelity to its sources, Muhammad: His Life Based on the Earliest Sources is presented in a narrative style that is easily comprehensible, yet authentic and inspiring in its use of language, reflecting both the simplicity and grandeur of the story it tells. This revised edition includes new sections detailing the prophet’s expanding influence and his spreading of the message of Islam into Syria and its neighboring states. It represents the final updates made to the text before the author’s death in 2005. The book has been published in 12 languages and has received numerous awards, including acknowledgment as best biography of the prophet in English at the National Seerate Conference in Islamabad.","{'Religion', 'Spirituality', 'History', 'Islam', 'Nonfiction', 'Theology', 'Biography'}","384 pages, Paperback",4.57
الرحيق المختوم,Safiur Rahman Mubarakpuri,"الرحيق المختومبحث في السيرة النبوية.تأليف: الشيخ صفي الرحمن المباركفوري.قُدِّم في مسابقة رابطة العالم الإسلامي في السيرة النبوية الشريفة، وحاز البحث على المركز الأول.""ومن منهجي في هذا الكتاب ـ عدا ما جاء في إعلان الرابطة ـ أني قررت سلوك سبيل الاعتدال، متجنبًا التطويل الممل والإيجاز المخل، وقد وجدت المصادر تختلف فيما بينها حول كثير مما يتعلق بالأحداث اختلافًا لا يحتمل الجمع والتوفيق، فاخترت سبيل الترجيح، وأثبت في الكتاب ما ترجح لدي بعد التدقيق في الدراسة والنقد، إلا أني طويت ذكر الدلائل والوجوه؛ لأن ذلك يفضي إلى طول غير مطلوب‏.أما بالنسبة لقبول الروايات وردها فقد استفدت في ذلك مما كتبه الأئمة المتقنون، واعتمدت عليهم فيما حكموا به من الصحة والحسن والضعف؛ إذ لم أجد وقتًا يكفي للخوض في هذا المجال‏.‏وقد أشرت في بعض المواضع إلى بعض الدلائل ووجوه الترجيح، وذلك حينما خِفْتُ الاستغراب ممن يقرأ الكتاب، أو رأيت شبه الاتفاق فيما بين الأولين والآخرين على خلاف ما هو الصواب‏.‏ والله ولي التوفيق‏.‏"" الجمعة المباركة 24/7/1396هـ23/7/1976مصفي الرحمن المباركفوريالجامعة السلفيةبنارس - الهند","{'Religion', 'Spirituality', 'History', 'Unfinished', 'Islam', 'Nonfiction', 'Biography'}","498 pages, Hardcover",4.60
Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,"We in the west share a common narrative of world history. But our story largely omits a whole civilization whose citizens shared an entirely different narrative for a thousand years.In Destiny Disrupted, Tamim Ansary tells the rich story of world history as the Islamic world saw it, from the time of Mohammed to the fall of the Ottoman Empire and beyond. He clarifies why our civilizations grew up oblivious to each other, what happened when they intersected, and how the Islamic world was affected by its slow recognition that Europe-a place it long perceived as primitive and disorganized-had somehow hijacked destiny.","{'Religion', 'Audiobook', 'World History', 'History', 'Islam', 'Nonfiction', 'Politics'}","416 pages, Kindle Edition",4.39
Reclaim Your Heart: Personal Insights on Breaking Free from Life's Shackles,Yasmin Mogahed,"Many of us live our lives entrapped by the same repeated patterns of heartbreak and disappointment. Often, we have no idea why this happens. Reclam Your Heart is about freeing the heart from this slavery. It is about the journey in and out of life's most deceptive traps.","{'Psychology', 'Religion', 'Self Help', 'Spirituality', 'Islam', 'Nonfiction', 'Faith'}","142 pages, Paperback",4.41
Islam: A Short History,Karen Armstrong,"No religion in the modern world is as feared and misunderstood as Islam. It haunts the popular Western imagination as an extreme faith that promotes authoritarian government, female oppression, civil war, and terrorism. Karen Armstrong's short history offers a vital corrective to this narrow view. The distillation of years of thinking and writing about Islam, it demonstrates that the world's fastest-growing faith is a much richer and more complex phenomenon than its modern fundamentalist strain might suggest.Islam: A Short History begins with the flight of Muhammad and his family from Medina in the seventh century and the subsequent founding of the first mosques. It recounts the origins of the split between Shii and Sunni Muslims, and the emergence of Sufi mysticism; the spread of Islam throughout North Africa, the Levant, and Asia; the shattering effect on the Muslim world of the Crusades; the flowering of imperial Islam in the fourteenth and fifteenth centuries into the world's greatest and most sophisticated power; and the origins and impact of revolutionary Islam. It concludes with an assessment of Islam today and its challenges.With this brilliant book, Karen Armstrong issues a forceful challenge to those who hold the view that the West and Islam are civilizations set on a collision course. It is also a model of authority, elegance, and economy.","{'Religion', 'Spirituality', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Theology'}","230 pages, Paperback",4.05
Infidel,Ayaan Hirsi Ali,"One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.Infidel shows the coming of age of this distinguished political superstar and champion of free speech as well as the development of her beliefs, iron will, and extraordinary determination to fight injustice. Raised in a strict Muslim family, Hirsi Ali survived civil war, female mutilation, brutal beatings, adolescence as a devout believer during the rise of the Muslim Brotherhood, and life in four troubled, unstable countries ruled largely by despots. She escaped from a forced marriage and sought asylum in the Netherlands, where she earned a college degree in political science, tried to help her tragically depressed sister adjust to the West, and fought for the rights of Muslim women and the reform of Islam as a member of Parliament. Under constant threat, demonized by reactionary Islamists and politicians, disowned by her father, and expelled from family and clan, she refuses to be silenced.Ultimately a celebration of triumph over adversity, Hirsi Ali’s story tells how a bright little girl evolves out of dutiful obedience to become an outspoken, pioneering freedom fighter. As Western governments struggle to balance democratic ideals with religious pressures, no other book could be more timely or more significant.","{'Religion', 'Africa', 'Islam', 'Nonfiction', 'Memoir', 'Politics', 'Biography'}","353 pages, Hardcover",4.19
In the Footsteps of the Prophet: Lessons from the Life of Muhammad,Tariq Ramadan,"Named by Time magazine as one of the 100 most important innovators of the century, Tariq Ramadan is a leading Muslim scholar, with a large following especially among young European and American Muslims. Now, in his first book written for a wide audience, he offers a marvelous biography of the Prophet Muhammad, one that highlights the spiritual and ethical teachings of one of the most influential figures in human history.In the Footsteps of the Prophet is a fresh and perceptive look at Muhammad, capturing a life that was often eventful, gripping, and highly charged. Ramadan provides both an intimate portrait of a man who was shy, kind, but determined, as well as a dramatic chronicle of a leader who launched a great religion and inspired a vast empire. More important, Ramadan presents the main events of the Prophet's life in a way that highlights his spiritual and ethical teachings. The book underscores the significance of the Prophet's example for some of today's most controversial issues, such as the treatment of the poor, the role of women, Islamic criminal punishments, war, racism, and relations with other religions. Selecting those facts and stories from which we can draw a profound and vivid spiritual picture, the author asks how can the Prophet's life remain -- or become again -- an example, a model, and an inspiration? And how can Muslims move from formalism -- a fixation on ritual -- toward acommitted spiritual and social presence?In this thoughtful and engaging biography, Ramadan offers Muslims a new understanding of Muhammad's life and he introduces non-Muslims not just to the story of the Prophet, but to the spiritual and ethical riches of Islam.","{'Religion', 'Spirituality', 'History', 'Islam', 'Nonfiction', 'Theology', 'Biography'}","242 pages, Hardcover",4.45
Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,A. Helwa,"Are you longing to experience a more intimate and loving relationship with the Divine? Secrets of Divine Love draws upon spiritual secrets of the Qur'an, ancient mystical poetry, and stories from the world's greatest prophets and spiritual masters to help you reignite your faith, overcome your doubts, and deepen your connection with God.Through the use of scientific evidence, practical exercises, and guided meditations, you will develop the tools and awareness needed to discern and overcome your negative inner critic that prevents you from experiencing God's all-encompassing love.The passages in this book serve as a compass and guiding light that returns you to the source of divine peace and surrender. Through the principles and practices of Islam, you will learn how to unlock your spiritual potential and unveil your divine purpose. Secrets of Divine Love uses a rational, yet heart-based approach towards the Qur'an that not only enlightens the mind, but inspires the soul towards deeper intimacy with God.","{'Religion', 'Self Help', 'Spirituality', 'Islam', 'Philosophy', 'Nonfiction', 'Faith'}","387 pages, Paperback",4.53
After the Prophet: The Epic Story of the Shia-Sunni Split in Islam,Lesley Hazleton,"In this gripping narrative history, Lesley Hazleton tells the tragic story at the heart of the ongoing rivalry between the Sunni and Shia branches of Islam, a rift that dominates the news now more than ever. Even as Muhammad lay dying, the battle over who would take control of the new Islamic nation had begun, beginning a succession crisis marked by power grabs, assassination, political intrigue, and passionate faith. Soon Islam was embroiled in civil war, pitting its founder's controversial wife Aisha against his son-in-law Ali, and shattering Muhammad’s ideal of unity.    Combining meticulous research with compelling storytelling, After the Prophet explores the volatile intersection of religion and politics, psychology and culture, and history and current events. It is an indispensable guide to the depth and power of the Shia–Sunni split.","{'Religion', 'Spirituality', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Politics'}","256 pages, Hardcover",4.09
